age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
44,2.0,8.0,7.0,58.0,56.0,0.0,0.0
45,2.0,8.0,7.0,63.0,61.0,0.0,0.0
46,3.0,8.0,7.0,82.0,79.0,0.0,0.0
47,3.0,7.0,6.0,71.0,68.0,0.0,0.0
48,2.0,6.0,5.0,58.0,56.0,0.0,0.0
49,2.0,6.0,5.0,72.0,70.0,0.0,0.0
50,1.0,6.0,5.0,60.0,59.0,0.0,0.0
51,0.0,3.0,3.0,51.0,51.0,0.0,0.0
52,0.0,4.0,4.0,52.0,52.0,0.0,0.0
53,2.0,6.0,4.0,57.0,55.0,1.0,0.0
54,2.0,6.0,4.0,53.0,51.0,1.0,0.0
55,2.0,6.0,4.0,51.0,49.0,1.0,0.0
56,3.0,13.0,11.0,88.0,84.0,1.0,0.0
57,3.0,11.0,9.0,66.0,62.0,1.0,0.0
58,3.0,11.0,9.0,79.0,75.0,2.0,1.0
59,2.0,8.0,7.0,57.0,54.0,1.0,1.0
60,2.0,7.0,6.0,47.0,44.0,1.0,1.0
61,2.0,7.0,6.0,46.0,44.0,1.0,1.0
62,2.0,11.0,10.0,52.0,53.0,1.0,1.0
63,2.0,11.0,10.0,49.0,50.0,1.0,1.0
64,1.0,12.0,11.0,48.0,49.0,1.0,1.0
65,1.0,9.0,8.0,42.0,42.0,1.0,1.0
66,5.0,17.0,14.0,86.0,82.0,2.0,2.0
67,7.0,18.0,14.0,104.0,98.0,2.0,2.0
68,6.0,16.0,12.0,89.0,85.0,3.0,3.0
69,6.0,16.0,12.0,88.0,84.0,3.0,3.0
70,6.0,20.0,15.0,109.0,103.0,3.0,3.0
71,6.0,22.0,17.0,107.0,101.0,3.0,3.0
72,6.0,20.0,16.0,112.0,106.0,3.0,3.0
73,6.0,17.0,14.0,100.0,94.0,3.0,3.0
74,6.0,24.0,20.0,131.0,126.0,3.0,3.0
75,6.0,22.0,18.0,111.0,106.0,2.0,2.0
76,6.0,20.0,16.0,104.0,99.0,2.0,2.0
77,5.0,20.0,16.0,101.0,97.0,2.0,2.0
